rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
93,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,159,159,3787,3787,3628,3628,snapshot_2026_09_09.json,snapshot_2026_08_10.json
94,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,159,159,683,683,524,524,snapshot_2026_09_09.json,snapshot_2026_08_10.json
95,map,hamburg,Hamburg,pierreggt,pierreggt,https://github.com/pierreggt,157,157,157,157,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
96,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,156,156,517,517,361,361,snapshot_2026_09_09.json,snapshot_2026_08_10.json
97,map,marseille,Marseille - Provence,pierreggt,pierreggt,https://github.com/pierreggt,154,154,314,314,160,160,snapshot_2026_09_09.json,snapshot_2026_08_10.json
98,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,154,154,290,290,136,136,snapshot_2026_09_09.json,snapshot_2026_08_10.json
99,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,152,152,2111,2111,1959,1959,snapshot_2026_09_09.json,snapshot_2026_08_10.json
100,map,muenchen,München,pierreggt,pierreggt,https://github.com/pierreggt,152,152,152,152,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
101,map,yukina-cz-plzen,Plzeň,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,150,150,363,363,213,213,snapshot_2026_09_09.json,snapshot_2026_08_10.json
102,map,yukina-toyama,富山 (Toyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,147,147,399,399,252,252,snapshot_2026_09_09.json,snapshot_2026_08_10.json
103,map,yukina-cz-ustecko-chomutov,Ústí nad Labem - Chomutov,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,147,147,342,342,195,195,snapshot_2026_09_09.json,snapshot_2026_08_10.json
104,map,yukina-lt-klaipeda,Klaipėda,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,146,146,179,179,33,33,snapshot_2026_09_09.json,snapshot_2026_08_10.json
105,map,yukina-cz-hradec-pardubice,Hradec Králové - Pardubice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,145,145,310,310,165,165,snapshot_2026_09_09.json,snapshot_2026_08_10.json
106,map,yukina-tw-tainan,臺南 (Tainan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,143,143,384,384,241,241,snapshot_2026_09_09.json,snapshot_2026_08_10.json
107,map,yukina-kagoshima-kirishima,鹿児島 (Kagoshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,142,142,410,410,268,268,snapshot_2026_09_09.json,snapshot_2026_08_10.json
108,map,yukina-cz-olomouc,Olomouc,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,140,140,307,307,167,167,snapshot_2026_09_09.json,snapshot_2026_08_10.json
109,map,yukina-kumamoto,熊本 (Kumamoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,136,136,293,293,157,157,snapshot_2026_09_09.json,snapshot_2026_08_10.json
110,map,ruhrgebiet,Ruhrgebiet,pierreggt,pierreggt,https://github.com/pierreggt,136,136,136,136,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
111,mod,train-anarchy,Train Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,132,132,385,385,253,253,snapshot_2026_09_09.json,snapshot_2026_08_10.json
112,map,yukina-cz-liberec-jablonec,Liberec - Jablonec nad Nisou,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,132,236,236,104,104,snapshot_2026_09_09.json,snapshot_2026_08_10.json
113,map,nz-auckland,Auckland,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,131,131,343,343,212,212,snapshot_2026_09_09.json,snapshot_2026_08_10.json
114,map,yukina-tw-southern-taiwan,南臺灣 (Southern Taiwan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,131,131,131,131,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
115,map,yukina-okayama,岡山 (Okayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,129,129,306,306,177,177,snapshot_2026_09_09.json,snapshot_2026_08_10.json
