rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
109,soccerjonj/sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,236,236,236,236,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
110,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,231,231,231,231,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
111,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,230,230,230,230,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
112,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,227,227,227,227,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
113,rslurry/subwaybuilder-pauseonstart,subwaybuilder-pauseOnStart,rslurry,slurry,https://github.com/rslurry,1,0,0,225,225,225,225,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
114,tathandev/tathancasino,TathanCasino,TathanDev,TathanDev,https://github.com/TathanDev,1,0,0,212,212,212,212,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
115,pierreggt/subway-builder-nice,subway-builder-nice,pierreggt,pierreggt,https://github.com/pierreggt,1,0,0,206,206,206,206,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
116,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,0,188,188,188,188,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
117,soccerjonj/colorado-ski-country,Colorado-Ski-Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,188,188,188,188,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
118,soccerjonj/louisville,Louisville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,183,183,183,183,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
119,crumpetime/sb-maps-xna,sb-maps-xna,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,158,158,158,158,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
120,pswbsf/pyongyang-nk,pyongyang-nk,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,158,158,158,158,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
121,pswbsf/piedmont-triad,piedmont-triad,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,151,151,151,151,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
122,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,137,137,137,137,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
123,nzh0172/sb-hideandseek,sb-hideandseek,nzh0172,naz,https://github.com/nzh0172,1,0,0,135,135,135,135,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
124,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,0,0,118,118,118,118,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
125,barkuperman/anysave,AnySave,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,0,0,112,112,112,112,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
126,pierreggt/subway-builder-montpellier,subway-builder-montpellier,pierreggt,pierreggt,https://github.com/pierreggt,1,0,0,111,111,111,111,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
127,crumpetime/sb-maps-rsw,sb-maps-rsw,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,74,74,74,74,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
128,imb11/subwaycine,SubwayCine,IMB11,IMB11,https://github.com/IMB11,1,0,0,33,33,33,33,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
129,matematysek/prospector,Prospector,matematysek,matematysek,https://github.com/matematysek,1,0,0,23,23,23,23,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
130,akospanov/subwaybuildermaps-russia,subwaybuildermaps-russia,akospanov,akospanov,https://github.com/akospanov,1,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
131,meszier83/subway-builder-mexico-maps,subway-builder-mexico-maps,Meszier83,Meszier83,https://github.com/Meszier83,1,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
132,subway-builder-modded/registry,registry,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
